"id","estimate_id","pass","description","price"
40,,,,
41,,,,
51,135,,"install thermostat",25.00
52,135,,"lubrication",6.00
53,137,,"Bleed brakes",30.00
54,138,0,,0.00
55,139,,"Install switch assembly",25.00
56,,,"0",0.00
57,140,,,0.00
58,141,,"Lube",6.00
59,143,,"Lube",6.00
60,144,,"Install rotors",55.00
61,132,,"Lube",6.00
62,128,,"Lube",6.00
63,134,,"Install sensor",82.50
64,31,,"LUBE and flush antifreeze",33.00
65,15,,"Install Fuel pump",232.50
66,42,,"labor on oil, gaskets, misc.",66.00
67,65,,"Labor on plugs and wires",93.50
68,84,,"Towing, Install parts",155.00
69,78,,"Install Belts",27.50
70,71,,"Labor on wheel cylinders",75.00
71,82,1,"Towing and Labor on parts",127.50
72,82,0,,0.00
73,82,0,,0.00
74,82,0,,0.00
75,26,,"Labor on brakes and change own oil",66.00
76,68,,"Install own pvc valve, plugs and filter",55.00
77,67,,"Install own plugs,misc.",55.00
78,63,,"Install own water pump",55.00
79,59,,"Labor",80.00
80,54,,"Labor",55.00
81,,,,
82,,,"Labor on window motor",66.00
83,41,,"Labor on window motor",66.00
84,52,,"Labor on brakes",75.00
85,51,,"Labor on belt",27.50
86,48,,"Install tie rod bushing",110.00
87,49,,"Install own fuel pump",120.00
88,,,,
89,,,"Labor on brakes and rotors",82.50
90,47,,"Labor on brakes and rotors",82.50
91,46,,"Install oxygen sensor",75.00
92,44,,,0.00
93,,,,
94,,,"Install harmonic balancer, struts",277.50
95,43,,"Install harmonic balancer, struts",277.50
96,38,,,0.00
97,36,,"Install own brakes",55.00
98,35,,"Labor on brakes",75.00
99,34,,"Labor",55.00
100,34,,,
101,30,,"Lubrication",6.00
102,21,,"Labor on brakes",55.00
103,27,,"Labor on bearing sets",40.00
104,25,,"Install own brakes",75.00
105,24,,"check electrical system and install cable",55.00
106,23,,,0.00
107,,,,
108,,,"Bleed Brakes",27.50
109,22,,"Bleed brakes",27.50
110,20,,"Lubrication",6.00
111,17,,"Install water pump",82.50
112,16,,"Towing and labor on manifold",175.00
113,13,,"Install own alternator",55.00
114,12,,"Labor on checking out on scanner",55.00
115,11,,"Labor on steering column and horn",55.00
116,8,,"Labor on wheel cylinders",110.00
117,6,0,"Labor on belt",27.50
118,19,,"Labor on door lock",55.00
119,9,,"Scan computer and check alternator",25.00
120,7,,"Lubrication",6.00
121,146,,"Labor on plugs and sensor",137.50
122,145,,"Labor on switch and thermostat",55.00
123,142,,"Labor on carbureator",55.00
124,133,,"Labor on tires and sway bars",79.00
125,133,,"`",
126,133,,,
127,136,,"Harmonic balancer installed",40.00
128,136,,,
129,125,,"Change own oil and install own ujoints",121.00
130,126,,"Scan computer and install fuel filter",25.00
131,129,,"Install window regulator",100.00
132,1129,,"Install window regulator",100.00
133,131,,"Towing and scan computer",70.00
134,127,,"Change transmission filter and oil",45.00
135,130,,"Change own oil",11.00
136,124,,"Lubrication",6.00
137,123,,"Install door lock",82.50
138,122,,"Labor on water pump and change own oil",176.00
139,86,,"Lubrication",6.00
140,96,,"Install belts",55.00
141,96,,,
142,95,,,0.00
143,97,,"Install radiator",82.50
144,100,,,0.00
145,83,,"Install own brakes and rotors",192.50
