"id","estimate_id","quantity","mfr_no","part_no","description","cost","price","pass2"
39,2389,1,,,"Rack and pinion steering gear",67.26,121.05,0
40,2389,1,,,"Power steering hose",40.44,85.13,0
53,135,1,,,"thermostat",4.41,9.50,0
54,135,1,,,"gasket",2.65,3.76,0
55,135,1,,,"antifreeze",7.25,11.50,0
56,135,1,,,"oil filter",2.84,8.00,0
57,137,0,,,,0.00,0.00,0
58,138,1,,,"oil filter",2.84,8.00,0
59,139,0,,,,0.00,0.00,0
60,140,1,,,"Oil Filter",2.84,8.00,0
61,135,,,,,,,0
62,140,,,,,,,0
63,141,1,,,"Oil filter",2.84,8.00,0
64,143,1,,,"Oil filters",2.84,8.00,0
65,144,0,,,,0.00,0.00,0
66,132,1,,,"Oil filter",2.84,8.00,0
67,128,1,,,"Oil filter",2.84,8.00,0
68,134,1,,,"Knock sensor",42.91,82.68,0
69,,,,,,,,0
70,,1,,,"Oil filter",2.84,8.00,0
71,31,1,,,"antifreeze",5.39,10.00,0
72,15,1,,,"Fuel Pump",179.44,389.82,0
73,15,1,,,"Wires",28.13,64.21,0
74,15,1,,,"Plugs",36.48,36.48,0
75,,,,,,,,0
76,,,,,,,,0
77,42,0,,,,0.00,0.00,0
78,65,1,,,"Plugs",27.36,39.36,0
79,65,1,,,"Wires",25.52,57.04,0
80,84,1,,,"Distributor Cap",8.93,16.55,0
81,84,1,,,"Spark Plugs",9.00,21.54,0
82,84,1,,,"Rotor",3.87,5.97,0
83,84,1,,,"Wires",23.56,52.55,0
84,78,1,,,"B elt Tensioner",30.98,56.32,0
85,78,1,,,"Belt",24.11,54.80,0
86,71,1,,,"Stop Leak",1.95,2.95,0
87,71,1,,,"Wheel Cynlinders",25.78,51.56,0
88,82,1,,,"Distributor Cap",11.62,21.54,0
89,82,1,,,"Rotor",6.58,12.19,0
90,82,1,,,"Wires",17.06,38.14,0
91,82,1,,,"Spark Plugs",9.00,21.54,0
92,82,1,,,"Oil Filter",2.84,8.00,0
93,82,,,,,,,0
94,82,,,,,,,0
95,82,,,,,,,0
96,82,,,,,,,0
97,82,,,,,,,0
98,82,,,,,,,0
99,82,,,,,,,0
100,82,,,,,,,0
101,26,1,,,"Brake pads",35.57,78.18,0
102,68,0,,,,0.00,0.00,0
103,67,0,,,,0.00,0.00,0
104,63,0,,,,0.00,0.00,0
105,59,1,,,"Valve cover gasket",14.72,30.60,0
106,59,1,,,"Thermostat",2.68,5.78,0
107,59,1,,,"Gasket",1.29,1.78,0
108,59,,,,,,,0
109,54,1,,"Pur62088","Air Filter",4.01,9.50,0
110,54,1,,,"Oil Filter",2.84,8.00,0
111,54,1,,,"Spark Plugs",10.74,22.98,0
112,,,,,,,,0
113,,0,,,,0.00,0.00,0
114,41,0,,,,0.00,0.00,0
115,52,1,,,"Brake pads",34.33,75.44,0
116,51,1,,,"Belt",28.05,63.75,0
117,48,1,,,"inner tie rod bearing",29.43,64.50,0
118,49,0,,,,0.00,0.00,0
119,,,,,,,,0
120,,1,,,"Brake pads",35.95,79.00,0
121,,1,,,"Rotors",174.47,300.00,0
122,47,1,,,"brake pads",35.95,79.00,0
123,47,1,,,"Rotors",174.47,300.00,0
124,46,1,,,"Oxygen sensor",39.15,82.22,0
125,44,1,,,"Oil Filter",2.84,8.00,0
126,,,,,,,,0
127,,0,,,,0.00,0.00,0
128,43,0,,,,0.00,0.00,0
129,38,1,,,"Oil Filter",2.84,8.00,0
130,36,0,,,,0.00,0.00,0
131,35,1,,,"Rotors",40.02,89.16,0
132,35,1,,,"Brake pads",15.14,33.64,0
133,34,1,,,"PVC valve",3.85,6.00,0
134,34,,,,,,,0
135,30,1,,,"Drain plug",3.20,1.92,0
136,30,1,,,"Oil Filter",2.84,8.00,0
137,21,1,,,"Brake pads",18.22,40.48,0
138,27,1,,,"Front outer bearings",7.60,15.70,0
139,27,1,,,"Front inner bearings",8.28,17.09,0
140,27,1,,,"Inner seals",1.77,3.46,0
141,25,0,,,,0.00,0.00,0
142,24,1,,,"Battery Cable",9.54,20.49,0
143,23,1,,,"Oil filter",2.84,8.00,0
144,23,1,,,"Air filter",6.26,6.26,0
145,,,,,,,,0
146,,0,,,,0.00,0.00,0
147,22,0,,,,0.00,0.00,0
148,20,1,,,"Oil filter",2.84,8.00,0
149,17,1,,,"Water Pump",31.76,62.96,0
150,16,1,,,"Gaskets and manifold set",147.38,184.26,0
151,13,0,,,,0.00,0.00,0
152,12,0,,,,0.00,0.00,0
153,11,0,,,,0.00,0.00,0
154,8,1,,,"Master Cylinder Cap",7.13,10.69,0
155,8,1,,,"Wheel cyllinders",24.06,48.12,0
156,8,1,,,"Brake Line",4.21,2.95,0
157,6,1,,,"Alternator Belt",7.67,17.43,0
158,19,1,,,"Front door lock",32.74,40.73,0
159,9,0,,,,0.00,0.00,0
160,7,1,,,"Oil filter",2.84,8.00,0
161,146,1,,,"Spark plugs",9.00,20.94,0
162,146,1,,,"Oxygen sensor",57.84,118.00,0
163,145,1,,,"Oil switch",15.08,27.95,0
164,145,1,,,"Thermostat",10.18,21.95,0
165,145,1,,,"Seal",4.77,6.77,0
166,142,1,,,"Gaskets",3.54,5.00,0
167,133,1,,,"valve stems",3.50,4.00,0
168,133,1,,,"Tires, user fee and disposal",113.00,131.00,0
169,133,1,,,"Sway bars",52.00,114.14,0
170,133,,,,,,,0
171,133,,,,,,,0
172,136,0,,,,0.00,0.00,0
173,125,1,,,"Check valve`",15.91,28.39,0
174,126,1,,,"Oil filter",2.84,8.00,0
175,126,1,,,"Fuel filter",8.02,16.04,0
176,129,1,,,"Window Regulator",189.55,252.73,0
177,1129,1,,,"Window Regulator",189.55,252.73,0
178,131,0,,,,0.00,0.00,0
179,127,1,,,"Oil filter",2.84,8.00,0
180,127,1,,,"Transmission filter kit",21.22,45.73,0
181,130,0,,,,0.00,0.00,0
182,124,1,,,"Oil filter",2.84,8.00,0
183,123,1,,,"Door Lock",103.63,148.03,0
184,122,1,,,"Hose",8.10,12.10,0
185,122,1,,,"Water Pump",72.43,143.60,0
186,122,1,,,"Belt tensioner and pulley",53.64,97.62,0
187,122,1,,,"antifreeze",5.39,7.50,0
188,86,1,,,"Oil filter",2.84,8.00,0
189,86,,,,,,,0
190,86,,,,,,,0
191,96,1,,,"Belt tensioner",30.98,56.32,0
192,96,1,,,"Idler tensioner",14.42,26.22,0
193,96,1,,,"Serpentine belt",24.11,54.80,0
194,96,,,,,,,0
195,95,1,,,"Oil filter",2.84,8.00,0
196,97,1,,,"Radiator",97.18,147.00,0
197,100,1,,,"Oil filter",2.84,8.00,0
198,83,0,,,,0.00,0.00,0
199,83,,,,,,,0
200,85,0,,,,0.00,0.00,0
201,98,1,,,"Oil filter",2.84,8.00,0
202,55,1,,,"Battery hold down",7.66,12.76,0
203,55,1,,,"Bolts",5.42,9.04,0
204,55,1,,,"Terminal ends",2.20,4.00,0
205,39,1,,,"Brake light switch",15.50,25.50,0
206,80,0,,,,0.00,0.00,0
207,76,1,,,"Oil Filter",2.84,8.00,0
208,76,,,,,,,0
209,33,0,,,,0.00,0.00,0
210,3500,1,,,"Shop supplies",30.00,30.00,0
211,81,1,,,"Upper ball joints",60.93,121.86,0
212,81,1,,,"Lower ball joints",38.58,84.64,0
213,81,1,,,"Bushing kit",23.63,51.85,0
