id,customer_id,make,model,year,engine,drive_type,fleet_no
9,10,"Chevy","S10","1995",,,
10,11,"Chevy","Van","1995",,,
11,12,"Mercury","Sable","1998",,,
12,132,"Mercury","Marquis","1987",,,
13,14,"Mercury","Grand 
Grand Marquis","2001",,,
15,15,"Ford","F150","1994",,,
16,16,"Ford","Explorer","1994",,,
17,17,"Ford","Mustang","2000",,,
18,18,"Pontiac","Grand Am","1995",,,
19,19,"Jeep","Cherokee","1995",,,
20,20,"Buick","Century","1992",,,
21,21,"Jeep","Cherokee","1995",,,
22,22,"Ford","Van","1994",,,
23,23,"Chrysler","New Yorker","1991",,,
24,24,"Dodge","Caravan","2000","3.8",,
25,25,"Dodge","Dakota","1999",,,
26,228,"Ford","Explorer","1998",,,
27,4752,".",".",".",".",".",
28,28,"Ford","Tempo","1992",,,
30,30,"Toyota",,,,,
31,31,"Pontiac","Grand Prix","1995",,,
32,32,"Buick","Century","1996",,,
33,33,"Ford","F150","1979",,,
34,34,"Chevy","Van","1992",,,
35,35,"Alero",,,,,
36,36,"Buick","Lasabre","1997",,,
37,37,"Ford","Ranger","2001",,,
38,38,"Chrysler",,"1996",,,
39,39,"Nissan","Century","1992",,,
40,40,"Chevy","Suburban","2001",,,
41,41,"Ford","F150","1995",,,
42,42,"Chrysler","300M","1999",,,
43,43,"Ford","Escort","1995",,,
44,44,"Mazda","MX3","1993",,,
45,45,"Ford","Explorer",,,,
46,46,"Nissan",,"1994",,,
47,48,"Ford","Ranger","1985",,,
48,51,"Dodge","Ram","1988",,,
49,52,"GMC","Suburban","1999",,,
50,53,"Ford","Windstar","2001",,,
51,54,"Chevy","Malibu","1997",,,
52,55,"Dodge","Dakota","2001",,,
53,56,"Chevy","Silverado","1991",,,
54,48,"Dodge","Intreped","2000",,,
55,58,"Chevy","Lumina","1998",,,
56,2527,"Ford","Taurus","2000","2.0 DOHC",,
57,60,"Ford","Windstar","1998",,,
58,2941,"Oldsmobile","Cierra","1994",,,
59,62,"Mazda","Truck",,,,
60,63,"Ford","Taurus Wagon","1989",,,
61,64,"Mitsibushi","Gallant","1995",,,
62,65,"Ford","Windstar Van","1999",,,
63,66,"Chrysler","New Yorker","1990",,,
64,67,"Ford","Van","1989",,,
65,68,"Ford","Explorer","1991",,,
66,69,"Dodge","Neon","1999",,,
67,70,"Mazda",,"1987",,,
68,27,,,,,,
69,72,"Ford","Thunderbird","1992",,,
70,73,"Ford","F150","1993",,,
71,65,,,,,,
72,74,"Pontiac","Grand Am","2000",,,
73,74,"Pontiac","Grand am","2000",,,
74,76,"Chevy","Suburban","1988",,,
75,67,,"Probe","1993",,,
76,78,"Ford","F350","1995",,,
77,79,"Ford","Ranger","2005","2.3",,
78,80,"Buick","Skylark","1997",,,
79,25,,,,,,
80,81,"Ford","F150","1990",,,
81,82,"Hyundai",,"2002",,,
82,83,"Ford","Escort","1998",,,
83,84,"Ford","Explorer","2000",,,
84,85,"Ford","F250","1999",,,
85,86,"Olds","88","1994",,,
86,87,"Mercury","Sable","2001",,,
87,88,"Ford","Escort","1997",,,
88,89,"Ford","Ranger","1998",,,
89,90,"Chevy","Silverado",,,,
90,91,"Chevy","Monte Carlo``","1995",,,
91,92,"Sonoma","S10",,,,
92,93,"Company cars",,,,,
93,94,"Jeep",,"1998",,,
94,95,"Mercury","Cougar","1989",,,
95,96,"GMC",,"1998",,,
96,97,"Mazda","Prot�g�","1991",,,
97,69,"Ford","F250","1990","5.8",,
98,72,"Ford","F150","1991",,,
101,32,"Ford","F150","1983",,,
102,93,"Dodge","Durango",,,,
103,100,"Ford``","F250`","1981",,,
104,101,"Dodge`","Caravan","1996",,,
105,2941,"Chevy","1500","1995","5.7","RWD",
106,103,"Mercury","Crown Victoria","1993",,,
107,104,"Ford","Escort","1989",,,
108,106,"Pontiac","Bonneville","1996",,,
109,107,"Cadillac","Deville","2000",,,
110,108,"Chevy","Astro Van","1995",,,
111,110,"Honda","Accord","1990",,,
112,109,"Ford",,"1982",,,
113,112,"GMC","Van",,,,
114,93,"Toyota","Van",,,,
115,113,"Dodge","Neon","2001",,,
116,114,"Toyota",,,,,
117,69,"Chrysler","Lebaron","1993",,,
119,116,"Dodge","Shadow","1989",,,
120,117,"oldsmobile","Souloette","2000",,,
121,118,"Mercury","Grand Marqis","1996",,,
122,119,"Chevy","S10 Truck","1998","2.2",,
123,120,"Dodge","Dakota","1994",,,
124,121,"Dodge","Intreped","1996",,,
125,82,"Ford","Explorer","1994",,,
126,123,"Dodge","Intrepid","1996",,,
127,30,"Toyota","Camry","1996",,,
128,124,"Chrysler","Sebring",,,,
129,125,"Chevy","Blazer S10","1991",,,
131,126,"Mercury","Grand Marquis","2002",,,
132,35,"Jeep","Cherokee","1997",,,
133,13,,,,,,
134,128,"Chevy","Lumina","1997",,,
135,128,"Chevy","Silverado","1992",,,
136,92,"Suburban",,,,,
137,130,"Chrysler","Town and Country Van","1998","3.8",,
138,131,"Dodge","Van","1999",,,
139,37,,,,,,
140,131,,,,,,
141,132,"Ford","Escort","1993",,,
142,133,"Lincoln","Town Car","1989",,,
143,134,"Ford","Tempo","1992",,,
144,135,"Pontiac","Grand Prix","1993",,,
145,136,"Ford","Escort","1988",,,
146,139,"Chevrolet","Silverado","2000",,,
148,138,"Suzuki",,,,,
149,139,"Chevy","Silverado","1995",,,
150,140,"Chevy","S10","1995",,,
151,141,"Ford","Escort","2002",,,
152,142,"Ford","Taurus Wagon","1999",,,
153,130,,,,,,
154,4752,".",".",".",".",".",
155,144,"Ford","Truck",,,,
156,145,"Chevy","Cavalier","1989",,,
157,3209,"GMC","Sierra","2000","5.3",,
158,147,"F350",,"1989",,,
159,56,,,,,,
160,148,"Chevy","Monte Carlo","1999",,,
161,92,"Sonoma","#31",,,,
162,150,"Lincoln Town Car",,"1987","ILNBM8JY601845","111 8140",
163,113,"Silverado",,"2000",,,
164,151,"Chevy","S10","1988",,,
165,141,"Pontiac","Grand Am","1994",,,
166,152,"Ford","F150","1993",,,
167,153,"Dodge","Intrepid","1995",,,
168,93,"Explorer Van",,,,,
169,154,"Dodge","Caravan","2000",,,
170,155,"Chevy","Silverado",,,,
171,156,"Chevy","Lumina","1990",,,
172,157,"Toyota","Camry","1989",,,
173,155,"Chevy `","Monte Carlo","2000",,,
174,158,"Oldsmobile","Delta 88",,,,
175,92,"Chevy","S10`","2001",,,
176,159,"Lincoln","Town Car","1993",,,
177,160,"Pontiac","Montana","2003",,,
178,161,"Ford","Truck",,,,
179,162,"Sonoma",,,,,
180,93,,,,,,
181,162,"S10",,"1998",,,
182,164,"Ford","TAURUS","1996",,,
183,162,"Lincoln","Town Car","2000",,,
184,166,"Mercury","Sable","2000",,,
185,167,"Chevy","Astro Van","1996",,,
186,168,"Ford","Taurus","1991",,,
187,169,"Chevy","Lumina","1992",,,
188,22,"Ford","F150","2004",,,
189,170,"Truck",,,,,
