id,car_id,date,miles,pass,pass,pass,employee_id
-2323626,7666,7/7/2022 0:00:00,,0,,,"1"
-18346,6544,3/14/2019 0:00:00,,0,,,"1"
0,10297,7/22/2028 0:00:00,,0,,,
1,1426,10/13/2005 0:00:00,,0,,,"1"
3,1426,12/22/2005 0:00:00,,0,,,"1"
6,818,1/12/2004 0:00:00,,0,,,"1"
7,75,1/12/2004 0:00:00,,0,,,"1"
8,60,1/13/2004 0:00:00,,0,,,"1"
9,63,1/12/2004 0:00:00,,0,,,"1"
11,59,1/10/2004 0:00:00,,0,,,"1"
12,58,1/5/2004 0:00:00,,0,,,"1"
13,57,1/13/2004 0:00:00,,0,,,"1"
15,28,1/13/2004 0:00:00,,0,,,"1"
16,56,1/13/2004 0:00:00,,0,,,"1"
17,55,1/13/2004 0:00:00,,0,,,"1"
19,71,1/13/2004 0:00:00,,0,,,"1"
20,54,1/14/2004 0:00:00,,0,,,"1"
21,48,1/14/2004 0:00:00,,0,,,"1"
22,159,1/14/2004 0:00:00,,0,,,"1"
23,52,1/14/2004 0:00:00,,0,,,"1"
24,51,1/14/2004 0:00:00,,0,,,"1"
25,50,1/15/2004 0:00:00,,1,,,"1"
26,188,1/15/2004 0:00:00,,0,,,"1"
27,49,1/15/2004 0:00:00,,0,,,"1"
28,96,2/2/2004 0:00:00,,0,,,"1"
30,27,1/16/2004 0:00:00,,0,,,"1"
31,21,1/16/2004 0:00:00,,1,,,"1"
33,175,1/31/2004 0:00:00,,0,,,"1"
34,54,1/16/2004 0:00:00,,0,,,"1"
35,46,1/16/2004 0:00:00,,0,,,"1"
36,45,1/16/2004 0:00:00,,0,,,"1"
38,44,1/16/2004 0:00:00,,0,,,"1"
39,88,1/17/2004 0:00:00,,0,,,"1"
41,132,1/17/2004 0:00:00,,0,,,"1"
42,23,1/17/2004 0:00:00,,0,,,"1"
43,43,1/17/2004 0:00:00,,0,,,"1"
44,42,1/17/2004 0:00:00,,0,,,"1"
46,41,1/19/2004 0:00:00,,0,,,"1"
47,40,1/19/2004 0:00:00,,0,,,"1"
48,38,1/19/2004 0:00:00,,0,,,"1"
49,39,1/19/2004 0:00:00,,0,,,"1"
51,139,1/19/2004 0:00:00,,0,,,"1"
52,36,1/19/2004 0:00:00,,0,,,"1"
54,34,1/20/2004 0:00:00,,0,,,"1"
55,87,1/20/2004 0:00:00,,0,,,"1"
59,33,1/21/2004 0:00:00,,0,,,"1"
63,101,1/22/2004 0:00:00,,0,,,"1"
65,24,1/23/2004 0:00:00,,0,,,"1"
67,31,1/23/2004 0:00:00,,0,,,"1"
68,127,1/23/2004 0:00:00,,0,,,"1"
71,27,1/24/2004 0:00:00,,0,,,"1"
76,90,1/26/2004 0:00:00,,0,,,"1"
78,26,1/26/2004 0:00:00,,0,,,"1"
80,89,1/29/2004 0:00:00,,0,,,"1"
81,93,2/2/2004 0:00:00,,0,,,"1"
82,28,1/26/2004 0:00:00,,0,,,"1"
83,84,1/27/2004 0:00:00,,0,,,"1"
84,79,1/27/2004 0:00:00,,0,,,"1"
85,85,1/26/2004 0:00:00,,0,,,"1"
86,80,1/28/2004 0:00:00,,0,,,"1"
95,81,1/30/2004 0:00:00,,0,,,"1"
96,16,1/30/2004 0:00:00,,0,,,"1"
97,205,1/31/2004 0:00:00,,0,,,"1"
98,86,1/31/2004 0:00:00,,0,,,"1"
99,94,2/2/2004 0:00:00,,0,,,"1"
100,83,1/31/2004 0:00:00,,0,,,"1"
102,132,2/2/2004 0:00:00,,0,,,"1"
103,95,2/3/2004 0:00:00,,0,,,"1"
105,97,2/4/2004 0:00:00,,0,,,"1"
106,98,2/4/2004 0:00:00,,0,,,"1"
107,101,2/4/2004 0:00:00,,0,,,"1"
108,168,2/4/2004 0:00:00,,0,,,"1"
109,103,2/5/2004 0:00:00,,0,,,"1"
110,104,2/5/2004 0:00:00,,0,,,"1"
111,96,2/6/2004 0:00:00,,0,,,"1"
112,105,2/7/2004 0:00:00,,0,,,"1"
113,106,2/7/2004 0:00:00,,0,,,"1"
114,107,2/9/2004 0:00:00,,0,,,"1"
115,108,2/9/2004 0:00:00,,0,,,"1"
116,109,2/9/2004 0:00:00,,0,,,"1"
117,110,2/7/2004 0:00:00,,0,,,"1"
118,112,2/7/2004 0:00:00,,0,,,"1"
119,175,2/10/2004 0:00:00,,0,,,"1"
120,70,2/10/2004 0:00:00,,0,,,"1"
121,168,2/11/2004 0:00:00,,0,,,"1"
122,79,1/5/2004 0:00:00,,0,,,"1"
123,78,1/5/2004 0:00:00,,0,,,"1"
124,77,1/5/2004 0:00:00,,0,,,"1"
125,70,1/5/2004 0:00:00,,0,,,"1"
126,71,1/5/2004 0:00:00,,0,,,"1"
127,75,1/5/2004 0:00:00,,0,,,"1"
128,202,1/6/2004 0:00:00,,0,,,"1"
129,17,1/6/2004 0:00:00,,0,,,"1"
130,76,1/7/2004 0:00:00,,0,,,"1"
131,74,1/7/2004 0:00:00,,0,,,"1"
132,18,1/8/2004 0:00:00,,0,,,"1"
133,27,1/8/2004 0:00:00,,0,,,"1"
134,20,1/8/2004 0:00:00,,0,,,"1"
135,9,1/7/2004 0:00:00,,0,,,"1"
136,98,1/7/2004 0:00:00,,0,,,"1"
137,10,1/7/2004 0:00:00,,0,,,"1"
138,11,1/7/2004 0:00:00,,0,,,"1"
139,133,1/8/2004 0:00:00,,0,,,"1"
140,13,1/9/2004 0:00:00,,0,,,"1"
141,15,1/9/2004 0:00:00,,0,,,"1"
142,67,1/9/2004 0:00:00,,0,,,"1"
143,16,1/10/2004 0:00:00,,0,,,"1"
144,17,1/10/2004 0:00:00,,0,,,"1"
145,97,1/10/2004 0:00:00,,0,,,"1"
146,65,1/12/2004 0:00:00,,0,,,"1"
147,163,2/11/2004 0:00:00,,0,,,"1"
148,116,2/11/2004 0:00:00,,0,,,"1"
149,117,2/11/2004 0:00:00,,0,,,"1"
150,119,2/11/2004 0:00:00,,0,,,"1"
151,120,2/12/2004 0:00:00,,0,,,"1"
152,121,2/12/2004 0:00:00,,0,,,"1"
153,122,2/12/2004 0:00:00,,0,,,"1"
154,123,2/12/2004 0:00:00,,0,,,"1"
155,124,2/12/2004 0:00:00,,0,,,"1"
156,125,2/13/2004 0:00:00,,0,,,"1"
